Timestamp,In which course are you enrolled?,Course design [The assigned readings have helped me meet the Learning Targets.],Course design [The RStudio primers have helped me meet the Learning Targets.],Course design [The Team Activities have helped me meet the Learning Targets.],Course design [The Learning Journals have helped me meet the Learning Targets.],Course design [The online class sessions have helped me meet the Learning Targets.],Course design [The Projects have helped me meet the Learning Targets.],Course design [The Applications have helped me meet the Learning Targets.],Course design [The Blackboard course site is organized in a way that helps me to effectively navigate the course materials.],Instructor [The instructor is genuinely interested in my understanding.],Instructor [The instructor answers questions effectively.],Instructor [The instructor is available for extra help when needed.],"What as been the best aspect of *this course* so far, and why?","If there was one thing about *this course* that you would change, what would it be, and why?",What is one thing that *you* can do differently to improve your learning? Explain how you plan to do this.,Optional: Provide any additional comments that you feel that were not addressed by the above items or that you wish to expand upon here.
9/29/2020 16:12:47,STA 418,Strongly agree,Strongly agree,Moderately agree,Moderately disagree,Moderately agree,Strongly agree,Strongly agree,Moderately agree,Moderately disagree,Moderately agree,Slightly agree,I really enjoyed the application activity and project. I think they have really measured my understanding of the material well and I like the way that they were set up.,"I don't really understand the ""Team"" aspect of this class. Every member of the team completes the activities individually, and then we just kind of pick one person's answers to submit. When I was placed into a team I really expected something more team-work like.",I need to be better about tracking what is required/expected of me in this course. I just recently discovered that there are assignments that we are free to do at our leisure but I have been waiting for clear directions to do them and so haven't touched them. I need to put more work into understanding how this class is being run.,
9/29/2020 20:45:02,STA 518,Slightly agree,Moderately agree,Strongly agree,Moderately disagree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,"There are two things that I think are the best aspects of this course. The first is my teammates. I think working with them increases my understanding and I feel like we are at similar skill levels, which is great! The other aspect is Professor Bradford. He is very helpful and easy to work with. He does a great job explaining things and guiding to a solution, rather than just giving the solution. ",Learning journals. I don't feel like I get much out of them. They kind of seem like busy work.,"I need to put a higher priority on the tasks in this course. I like programming, but it seems to be something that I tend to procrastinate with. I plan to be more proactive in starting the various tasks. ","Overall, I really like the format of this course. It actually feels like an in-person course and I am learning a lot because of that. I think it is great that we meet at a set time and get to work with other students. "
9/30/2020 0:14:46,STA 518,Strongly agree,Moderately agree,Strongly agree,Slightly agree,Moderately agree,Strongly agree,Moderately agree,Strongly agree,Moderately agree,Moderately agree,Strongly agree,"Covering  a wide variety of material, but with an emphasis on the tidyverse package, which is highly utilized in the professional workplace when dealing with data analysis in R.","Kind of hard to say at this point in the course.  I have to see what all is covered in completing the course.  I am a bigger proponent of real-life examples, so maybe working through some complete analyses with datasets that aren't so simple in nature.  Perhaps retrieving data from an SQL database would be nice.",I will probably purchase a book that covers ggplot and the tidyverse in order to read some supplemental information not covered in the R for Data Science book or in the primers and activities.,
9/30/2020 11:07:31,STA 518,Moderately agree,Moderately agree,Moderately agree,Moderately disagree,Moderately agree,Moderately agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I think learning how to work with groups remotely and how to code things together has been a cool learning experience  ,"I do not think that the learning journals have been personally helped me understand the material better. I know it is probably helpful for some people but for me, it is just another task that I keep forgetting about","I think trying to memorize more thing. I am pretty good at knowing what to look up in the book and how to use the helper tool in R, but I think I need to know some more basic things by heart. I think the best way to go about learning this is just repetition. ",
9/30/2020 14:31:30,STA 518,Slightly agree,Moderately agree,Moderately agree,Slightly disagree,Slightly agree,Slightly agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,Moderately agree,The class time together with groups has helped me understand the material best. Working with others and collaborating has helped tremendously. ,"To do it in person. Obviously this is far out of anyone's control and is no fault of your own, so really not much can be done here. ",Practice more on the outside in dealing with R. ,N/A
9/30/2020 15:01:53,STA 518,Moderately agree,Moderately agree,Slightly agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The applications and the projects are the best aspect because it helps reinforce what I have learned in class,"The team work, because my team members mostly do not meet outside of class",I would focus more on the readings outside of the classroom.,
9/30/2020 15:29:41,STA 518,Slightly agree,Slightly disagree,Strongly disagree,Moderately disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Moderately agree,Moderately agree,Moderately agree,The reading from the book has been pretty helpful,If there was more going going over the material together. Such as going over the actives and the answers. There is not really a way to gage how well I really know the material and become better at it.,"perhaps reading more, or going over the primers again to better understand the coding",
9/30/2020 16:54:46,STA 418,Strongly agree,Strongly agree,Strongly agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Working in teams! I love my team and feel like I learn so much from them. ,For it to be in person,Invest more time into assignments. I will no longer be working starting in November which will allow me to do so,
9/30/2020 18:04:35,STA 518,Slightly agree,Moderately agree,Strongly agree,Strongly disagree,Moderately disagree,Slightly agree,Moderately agree,Strongly agree,Moderately disagree,Moderately agree,Moderately agree,"I like the group work, it allows us to collaborate on tasks and effectively finish them","The workload amount is way too much for a 3-credit hour class. I feel overwhelmed with how much is needed to be completed each week in order to pass the class. I don't really gain anything from the learning journals.  I would rather just email the professor if I have questions. It would take a weight off of the coursework if I didn't have to worry about learning journals, preparations, follow-ups, applications, and projects all at the same time. I spend more time in this class doing coursework than I do in either of my other graduate classes, and because of this heavy amount of required assignments, its hard to manage other classes around this one.",I should ask more questions when I am concerned on how to code properly. I'm new to R and sometimes I feel as I'm not grasping the concepts properly. Scheduling more office hour visits would definitely help with this.,"I wish there was more direct instruction from the teacher. As I stated earlier, I am new to R, and it feels like I am just ""self-teaching"", having lectures may help me better grasp the concepts and allow me to be more able to ask questions on these concepts while class is in session."
9/30/2020 18:13:13,STA 518,Slightly agree,Moderately agree,Slightly disagree,Slightly disagree,Moderately disagree,Slightly agree,Slightly agree,Strongly agree,Moderately agree,Moderately agree,Slightly agree,"The R Studio Primers, they are very interactive and stripped down to show you what your code is doing and why.","I would really like some more time with the instructor during class time, going over examples of what we read about. We spend a lot of time reading about functions in the book and then are expected to know how to use them efficiently immediately the next class for the activity. I learn best by reading something first (like in the book), practicing them (R Primer) and then by seeing how other people (like the instructor) would use what we have learned for a few examples. It really feels like we are doing this alone.","I need to read the book more often. Reading assigned sections just once before class has not been enough. It is hard to remember all of the details, especially when what we are learning is essentially another language.","I'm not very fond of the group work during class. Mainly because our group of 3 are all at different skill levels . We work at different speeds and it's definitely not a collaborative effort as intended. When I am stuck it seems its annoying to slow another groupmate down to help. I would prefer to do this group work outside of class and have more examples of how to use the code we've read about during class. More collaborative practice as a whole class would help towards the more individual components such as the apps and projects.

Another point I have is that it feels odd that we need to reach out for problems to complete in order to get a second checkmark for learning targets. It would be nice if these were assigned up front so we can work on them on our own time, instead of having another thing to schedule. "
